LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.6
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3                # 修改1：将维度改为3

lattice         fcc ${density}   # 修改2：将晶格类型改为 fcc
lattice         fcc 1.1   
Lattice spacing in x,y,z = 1.5377619 1.5377619 1.5377619
region          box block 0 8 0 8 0 8    # 修改3：调整区域大小为 8x8x8

# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (12.302095 12.302095 12.302095)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (12.302095 12.302095 12.302095)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.162 | 3.162 | 3.162 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      3.2983887    
       250   2.5613707      1.8614072      0              5.7015873      29.538748    
       500   3.0774523      2.3587101      0              6.9726345      35.274503    
       750   3.0386708      2.283307       0              6.8390876      34.665087    
      1000   2.9966582      2.3264299      0              6.8192224      35.064193    
      1250   3.0533426      2.4210387      0              6.9988163      36.026957    
      1500   2.9065106      2.3366868      0              6.6943238      35.047657    
      1750   3.0953408      2.3984927      0              7.0392369      35.607586    
      2000   2.9404693      2.3212989      0              6.7298491      34.819837    
      2250   3.0664699      2.3725751      0              6.9700341      35.186974    
      2500   2.9699333      2.2963752      0              6.7490999      34.562425    
      2750   3.0634276      2.430995       0              7.0238927      36.259452    
      3000   3.0326467      2.3068009      0              6.8535498      34.828161    
      3250   3.0509413      2.3479913      0              6.9221686      35.439795    
      3500   2.9774219      2.3930483      0              6.8570004      35.555822    
      3750   2.9549999      2.4631795      0              6.8935151      36.060233    
      4000   3.0260663      2.3960266      0              6.9329096      35.639112    
      4250   2.9585404      2.3539871      0              6.7896309      34.979096    
      4500   3.1053429      2.3688708      0              7.0246108      35.406314    
      4750   3.0392411      2.2448176      0              6.8014532      34.36218     
      5000   3.07349        2.3645202      0              6.9725041      35.415173    
      5250   2.9911658      2.3636308      0              6.8481887      35.507591    
      5500   3.0453264      2.3340148      0              6.8997739      35.217112    
      5750   3.0437398      2.4203972      0              6.9837776      36.031667    
      6000   2.9909006      2.3189949      0              6.8031552      34.873464    
      6250   3.0133802      2.4354033      0              6.9532665      35.730603    
      6500   2.9540766      2.3556013      0              6.7845525      35.129816    
      6750   2.9675703      2.4353196      0              6.8845015      35.956169    
      7000   3.0606106      2.4339902      0              7.0226644      35.939326    
      7250   2.9890854      2.351793       0              6.8332319      35.360423    
      7500   3.0250687      2.3853231      0              6.9207106      35.275762    
      7750   3.0011543      2.2743406      0              6.7738739      34.522004    
      8000   3.069421       2.3235048      0              6.9253882      34.835468    
      8250   2.9432218      2.3194873      0              6.7321643      34.926813    
      8500   3.0133832      2.3664264      0              6.8842942      35.418662    
      8750   2.9248248      2.4646126      0              6.8497075      36.180396    
      9000   2.9570571      2.2726349      0              6.7060548      34.405991    
      9250   3.0034089      2.420429       0              6.9233425      35.941718    
      9500   2.9532767      2.2913515      0              6.7191036      34.616823    
      9750   3.0677822      2.389508       0              6.9889343      35.636182    
     10000   2.9627047      2.3410316      0              6.7829187      34.965683    
     10250   3.0301069      2.3883457      0              6.9312867      35.69188     
     10500   3.0439574      2.4811902      0              7.0448969      36.365651    
     10750   2.9100773      2.4125984      0              6.7755829      35.608522    
     11000   3.1488777      2.3060225      0              7.0270328      35.114082    
     11250   2.8740229      2.4337787      0              6.7427081      36.045621    
     11500   3.0402775      2.3956604      0              6.95385        35.800473    
     11750   2.9027521      2.3345354      0              6.6865376      35.10356     
     12000   3.05532        2.3622324      0              6.9429747      35.537703    
     12250   2.9460774      2.2880209      0              6.7049792      34.606736    
     12500   2.9918421      2.3736051      0              6.8591769      35.288447    
     12750   3.0226694      2.3710106      0              6.9028009      35.804725    
     13000   2.9795578      2.3029139      0              6.7700683      34.955342    
     13250   3.0252261      2.3918076      0              6.927431       35.471957    
     13500   3.0102719      2.327158       0              6.8403611      35.136341    
     13750   3.0470444      2.454901       0              7.0232358      36.005113    
     14000   2.9439335      2.3972329      0              6.810977       35.645982    
     14250   3.0972148      2.381914       0              7.0254678      35.326407    
     14500   3.0023366      2.3160944      0              6.8174003      34.823741    
     14750   3.0494205      2.3258584      0              6.8977557      35.174747    
     15000   2.9498511      2.3173433      0              6.7399594      34.808195    
     15250   2.9819069      2.44033        0              6.9110064      36.067899    
     15500   3.0625309      2.4215346      0              7.0130878      36.046629    
     15750   2.9513219      2.364349       0              6.7891702      35.377703    
     16000   3.1172056      2.3897749      0              7.0633002      35.645771    
     16250   2.9438507      2.3793238      0              6.7929437      35.359689    
     16500   3.0298553      2.3965402      0              6.939104       35.79838     
     16750   2.9234645      2.3375697      0              6.7206254      34.920122    
     17000   3.0292955      2.3967208      0              6.9384452      35.756636    
     17250   2.9080556      2.3123649      0              6.6723184      34.891883    
     17500   3.0471509      2.3492564      0              6.9177509      35.332011    
     17750   2.8754153      2.4197537      0              6.7307705      35.907318    
     18000   2.8797337      2.4471112      0              6.7646027      35.744748    
     18250   3.0419437      2.3802803      0              6.9409679      35.560535    
     18500   2.9670762      2.2557869      0              6.7042281      34.267602    
     18750   3.0579776      2.391464       0              6.9761907      35.679388    
     19000   2.9884434      2.3357299      0              6.8162063      34.995108    
     19250   3.2058085      2.3319096      0              7.1382743      35.232097    
     19500   2.9738521      2.3635694      0              6.8221695      35.357257    
     19750   3.0907118      2.371609       0              7.0054131      35.463788    
     20000   2.9702041      2.3564909      0              6.8096216      34.936552    
     20250   3.0787312      2.3189449      0              6.9347868      35.138016    
     20500   2.9440787      2.3311923      0              6.7451539      34.858292    
     20750   2.9827034      2.4436485      0              6.915519       35.842098    
     21000   2.9608126      2.4138731      0              6.8529235      35.710251    
     21250   2.9126972      2.3895198      0              6.7564323      35.459152    
     21500   3.0696925      2.3395461      0              6.9418365      35.217201    
     21750   2.9178738      2.3664867      0              6.7411602      35.836129    
     22000   3.0174999      2.3836706      0              6.9077103      35.517938    
     22250   2.9364173      2.256272       0              6.6587472      34.286113    
     22500   3.0091128      2.4289468      0              6.9404119      35.914374    
     22750   2.9826366      2.2840973      0              6.7558676      34.709025    
     23000   3.0811736      2.4100907      0              7.0295943      35.980778    
     23250   2.9510054      2.3894707      0              6.8138174      35.562869    
     23500   3.0818666      2.3982255      0              7.0187681      35.947985    
     23750   3.020675       2.3430799      0              6.8718799      34.749112    
     24000   2.9313714      2.4623938      0              6.8573039      36.11901     
     24250   3.0731006      2.3584003      0              6.9658003      35.350202    
     24500   2.9253431      2.4656166      0              6.8514887      36.310481    
     24750   2.9877659      2.3800758      0              6.8595364      35.468382    
     25000   2.9479606      2.3552816      0              6.7750633      35.048662    
     25250   2.9699624      2.4457288      0              6.8984971      36.075852    
     25500   3.0136798      2.2781096      0              6.796422       34.520089    
     25750   3.0672089      2.3422669      0              6.9408339      35.070935    
     26000   2.9904108      2.380936       0              6.864362       35.577833    
     26250   3.0785145      2.4723935      0              7.0879106      36.62006     
     26500   2.9878432      2.3372409      0              6.8168174      34.819565    
     26750   3.0920874      2.3662428      0              7.0021092      35.335989    
     27000   2.9828393      2.2718473      0              6.7439217      34.619903    
     27250   3.051005       2.3484391      0              6.922712       35.065532    
     27500   2.998936       2.3272482      0              6.8234557      34.724553    
     27750   3.0133651      2.367595       0              6.8854355      35.371509    
     28000   2.9334245      2.3258528      0              6.723841       34.955783    
     28250   3.0301132      2.419067       0              6.9620175      35.917075    
     28500   2.941822       2.39935        0              6.8099284      35.428022    
     28750   2.8945919      2.3670254      0              6.7067931      35.165539    
     29000   3.0441156      2.3799409      0              6.9438846      35.577247    
     29250   2.9925825      2.2130398      0              6.6997216      33.625699    
     29500   2.9876596      2.4781888      0              6.95749        36.449055    
     29750   2.9119767      2.397385       0              6.7632173      35.577573    
     30000   3.0397161      2.4238228      0              6.9811706      35.826054    
     30250   2.9723933      2.334233       0              6.7906458      35.204676    
     30500   3.1256593      2.3944169      0              7.0806165      35.527778    
     30750   2.9542028      2.4324122      0              6.8615527      35.938628    
     31000   3.0478689      2.3738514      0              6.9434224      35.497901    
     31250   2.9963495      2.3683401      0              6.8606698      35.26598     
     31500   2.9945319      2.3679985      0              6.8576031      35.470424    
     31750   3.1362852      2.3499402      0              7.0520709      35.442664    
     32000   2.9780572      2.2925823      0              6.7574869      34.611083    
     32250   3.0562933      2.4035842      0              6.9857857      35.94141     
