#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  100
#! SET periodic_psi true
   -3.141592654   -3.141592654   16.923093690  -50.421770043   17.070961327
   -3.078760801   -3.141592654   13.931956365  -44.800323778   17.054444561
   -3.015928947   -3.141592654   11.310231580  -38.684857639   17.219064905
   -2.953097094   -3.141592654    9.086107641  -32.183467767   17.441662534
   -2.890265241   -3.141592654    7.278101837  -25.531746408   17.593247640
   -2.827433388   -3.141592654    5.881981082  -19.106023328   17.649452949
   -2.764601535   -3.141592654    4.873314093  -13.233102052   17.681557398
   -2.701769682   -3.141592654    4.212408219   -8.086514167   17.781850240
   -2.638937829   -3.141592654    3.854410963   -3.611835207   17.992687377
   -2.576105976   -3.141592654    3.761783628    0.409239918   18.318534364
   -2.513274123   -3.141592654    3.911433085    4.091907449   18.726326153
   -2.450442270   -3.141592654    4.284991712    7.489533014   19.187916450
   -2.387610417   -3.141592654    4.859187111   10.463385291   19.676525892
   -2.324778564   -3.141592654    5.599915118   12.709585508   20.165586116
   -2.261946711   -3.141592654    6.450838507   13.927712522   20.650775232
   -2.199114858   -3.141592654    7.343711232   14.062711101   21.164693191
   -2.136283004   -3.141592654    8.219298537   13.404929263   21.784872913
   -2.073451151   -3.141592654    9.040256138   12.447094880   22.549476951
   -2.010619298   -3.141592654    9.801661043   11.493979913   23.435564151
   -1.947787445   -3.141592654   10.507473913   10.684060301   24.297261431
   -1.884955592   -3.141592654   11.162271983    9.896999546   24.952710325
   -1.822123739   -3.141592654   11.767494729    9.009881124   25.283326347
   -1.759291886   -3.141592654   12.318260808    8.229356268   25.341884658
   -1.696460033   -3.141592654   12.827026494    7.753286528   25.314523438
   -1.633628180   -3.141592654   13.321501711    7.797922989   25.439477712
   -1.570796327   -3.141592654   13.838119209    8.400797190   25.893921282
   -1.507964474   -3.141592654   14.410940406    9.646758765   26.710119924
   -1.445132621   -3.141592654   15.083445368   11.583746607   27.846474569
   -1.382300768   -3.141592654   15.902839427   14.362158268   29.243334824
   -1.319468915   -3.141592654   16.927305411   18.157363687   30.890760363
   -1.256637061   -3.141592654   18.224138965   22.951070545   32.834527217
   -1.193805208   -3.141592654   19.851182378   28.634051660   35.120176987
   -1.130973355   -3.141592654   21.853886036   34.880024119   37.736162344
   -1.068141502   -3.141592654   24.257256645   41.315125880   40.599506266
   -1.005309649   -3.141592654   27.062511235   47.627145966   43.576382959
   -0.942477796   -3.141592654   30.255282570   53.644748714   46.535485768
   -0.879645943   -3.141592654   33.818098456   59.385516539   49.373456514
   -0.816814090   -3.141592654   37.736542074   64.956926060   52.045977163
   -0.753982237   -3.141592654   42.000539771   70.433668346   54.571747193
   -0.691150384   -3.141592654   46.602481265   75.677423849   57.029202157
   -0.628318531   -3.141592654   51.521010570   80.441337018   59.530857764
   -0.565486678   -3.141592654   56.715861819   84.403668000   62.147028219
   -0.502654825   -3.141592654   62.123367368   87.200433527   64.776130489
   -0.439822972   -3.141592654   67.658296130   88.412095905   67.093236326
   -0.376991118   -3.141592654   73.205225064   87.459738488   68.485191039
   -0.314159265   -3.141592654   78.606338511   83.622425600   68.122877783
   -0.251327412   -3.141592654   83.654130448   76.111384810   65.106491495
   -0.188495559   -3.141592654   88.093426937   64.182756397   58.723875467
   -0.125663706   -3.141592654   91.633003182   47.390890034   48.720960006
   -0.062831853   -3.141592654   93.968724869   26.050069547   35.519132993
    0.000000000   -3.141592654   94.843463238    1.175820007   20.275820877
    0.062831853   -3.141592654   94.095805597  -25.231993377    4.676642064
    0.125663706   -3.141592654   91.711694580  -50.344149081   -9.509817151
    0.188495559   -3.141592654   87.864715651  -71.364335141  -20.843229876
    0.251327412   -3.141592654   82.887632711  -85.992056888  -28.564444657
    0.314159265   -3.141592654   77.217677406  -93.359378741  -32.681589723
    0.376991118   -3.141592654   71.300087411  -94.103873216  -33.829832387
    0.439822972   -3.141592654   65.499246613  -89.992265583  -32.992173574
    0.502654825   -3.141592654   60.050329024  -83.219878678  -31.170632278
    0.565486678   -3.141592654   55.060621998  -75.564876594  -29.136224783
    0.628318531   -3.141592654   50.553405588  -67.968625225  -27.299648733
    0.691150384   -3.141592654   46.519182969  -60.424885302  -25.715034058
    0.753982237   -3.141592654   42.967056202  -52.538073744  -24.221549661
    0.816814090   -3.141592654   39.932513616  -43.889772496  -22.596001646
    0.879645943   -3.141592654   37.468128065  -34.389781340  -20.717809384
    0.942477796   -3.141592654   35.624215291  -24.239453176  -18.613774011
    1.005309649   -3.141592654   34.429136704  -13.823410207  -16.435182088
    1.068141502   -3.141592654   33.888396646   -3.529019149  -14.372540834
    1.130973355   -3.141592654   33.983372866    6.376223961  -12.540381959
    1.193805208   -3.141592654   34.682437167   15.626234409  -10.911359704
    1.256637061   -3.141592654   35.934300143   23.877742181   -9.350085701
    1.319468915   -3.141592654   37.664031464   30.763710503   -7.711291114
    1.382300768   -3.141592654   39.776260719   36.021387606   -5.974645421
    1.445132621   -3.141592654   42.168718572   39.679036645   -4.283125174
    1.507964474   -3.141592654   44.749960134   42.101670574   -2.878651565
    1.570796327   -3.141592654   47.456177573   43.671547826   -1.948123342
    1.633628180   -3.141592654   50.237712023   44.479033656   -1.507416526
    1.696460033   -3.141592654   53.036912133   44.193327337   -1.350028634
    1.759291886   -3.141592654   55.771093219   42.291066667   -1.198140130
    1.822123739   -3.141592654   58.327234000   38.549589248   -0.776497357
