LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.6
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3                # 修改1：将维度改为3

lattice         fcc ${density}   # 修改2：将晶格类型改为 fcc
lattice         fcc 0.9   
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8    # 修改3：调整区域大小为 8x8x8

# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.176 | 3.176 | 3.176 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.6986816    
       250   2.855565       1.2078624      0              5.4891184      16.537409    
       500   3.0820006      1.3210733      0              5.9418168      17.730757    
       750   2.9208287      1.2738857      0              5.6529895      17.01246     
      1000   3.1427724      1.2060644      0              5.9179212      16.776499    
      1250   2.9515245      1.2468801      0              5.6720051      16.97104     
      1500   3.0996287      1.2370067      0              5.8841795      17.072249    
      1750   2.9405547      1.277548       0              5.6862263      17.10454     
      2000   3.0253457      1.3595676      0              5.8953704      18.086426    
      2250   3.0073182      1.2326262      0              5.7414009      17.020509    
      2500   3.1360389      1.3115901      0              6.0133516      17.78314     
      2750   2.9491275      1.3166834      0              5.7382147      17.695137    
      3000   3.0435198      1.2911027      0              5.8541533      17.493083    
      3250   2.9071677      1.3100069      0              5.6686292      17.513172    
      3500   3.0321696      1.3027736      0              5.8488071      17.568735    
      3750   2.9924007      1.2643324      0              5.7507417      17.346859    
      4000   3.0878888      1.3010287      0              5.9306002      17.608023    
      4250   3.0065637      1.2562865      0              5.7639299      17.10276     
      4500   3.0305696      1.3431955      0              5.8868302      17.966351    
      4750   2.9660286      1.25264        0              5.6995105      17.08828     
      5000   3.1032012      1.1901411      0              5.84267        16.675495    
      5250   3.0004869      1.2687967      0              5.7673293      17.162092    
      5500   3.0322432      1.2575785      0              5.8037224      17.207264    
      5750   2.982475       1.2781244      0              5.7496524      17.328325    
      6000   3.0293773      1.2809486      0              5.8227958      17.411627    
      6250   3.013578       1.1989075      0              5.7170673      16.857989    
      6500   3.002111       1.299385       0              5.8003527      17.361331    
      6750   2.8864123      1.3253217      0              5.6528261      17.574306    
      7000   3.006034       1.2878746      0              5.7947239      17.36073     
      7250   2.982931       1.2946869      0              5.7668987      17.496945    
      7500   3.0206555      1.1752975      0              5.7040684      16.445788    
      7750   2.9888195      1.2940753      0              5.7751154      17.284849    
      8000   2.9326851      1.3735434      0              5.7704231      17.910784    
      8250   3.0109033      1.2708764      0              5.7850261      17.162858    
      8500   2.9568142      1.3399745      0              5.7730302      17.752287    
      8750   2.9766114      1.3156391      0              5.778376       17.566565    
      9000   2.9815932      1.2515393      0              5.7217453      17.062355    
