#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
   -3.141592654   14.724419424  -47.694081781
   -3.070995066   11.579612266  -41.525964277
   -3.000397478    8.847851962  -35.964083214
   -2.929799890    6.493880881  -30.841524492
   -2.859202303    4.504715497  -25.513048350
   -2.788604715    2.909597283  -19.657135913
   -2.718007127    1.744331191  -13.385742759
   -2.647409540    1.024905302   -7.155780223
   -2.576811952    0.725056814   -1.631969874
   -2.506214364    0.770810237    2.551679726
   -2.435616776    1.058716107    5.218648503
   -2.365019189    1.485456851    6.540215391
   -2.294421601    1.968741875    6.892262599
   -2.223824013    2.450694569    6.525305129
   -2.153226425    2.888593049    5.643220695
   -2.082628838    3.254346661    4.556608333
   -2.012031250    3.541561345    3.381120662
   -1.941433662    3.733432926    1.762088046
   -1.870836075    3.775584024   -0.968704527
   -1.800238487    3.579533268   -4.899146107
   -1.729640899    3.093418776   -8.943096255
   -1.659043311    2.366200330  -11.469297003
   -1.588445724    1.543521658  -11.573645188
   -1.517848136    0.795073080   -9.540021484
   -1.447250548    0.246070419   -5.964647693
   -1.376652961    0.000000000   -0.890743255
   -1.306055373    0.178708539    6.097735534
   -1.235457785    0.915054870   14.794194353
   -1.164860197    2.285296966   23.706601847
   -1.094262610    4.236111301   30.947094588
   -1.023665022    6.601970937   35.373176976
   -0.953067434    9.180211119   37.177431923
   -0.882469847   11.824087511   37.375532861
   -0.811872259   14.464004142   37.314149474
   -0.741274671   17.119241770   37.869100510
   -0.670677083   19.847685522   39.351937884
   -0.600079496   22.695310541   41.127052149
   -0.529481908   25.642133376   41.905312925
   -0.458884320   28.572987468   40.452002418
   -0.388286732   31.305285495   36.319261539
   -0.317689145   33.661391071   29.987796088
   -0.247091557   35.524648867   22.590730091
   -0.176493969   36.862557161   15.153481550
   -0.105896382   37.686887865    8.130221931
   -0.035298794   38.021022519    1.175148797
    0.035298794   37.849486760   -6.293424273
    0.105896382   37.126775739  -14.375802092
    0.176493969   35.825638436  -22.550728581
    0.247091557   33.974407612  -29.829548451
    0.317689145   31.660536209  -35.546238125
    0.388286732   29.000703215  -39.633627927
    0.458884320   26.106401950  -42.212305083
    0.529481908   23.088108287  -43.110130346
    0.600079496   20.070875997  -42.138117277
    0.670677083   17.183694625  -39.517257501
    0.741274671   14.525912987  -35.672487068
    0.811872259   12.173090005  -30.915879791
    0.882469847   10.202413680  -24.723742886
    0.953067434    8.738025204  -16.441963632
    1.023665022    7.937556738   -6.000250917
    1.094262610    7.933905241    5.877583988
    1.164860197    8.792187668   18.308397813
    1.235457785   10.526336052   30.676090146
    1.306055373   13.125966115   42.765009580
    1.376652961   16.563070145   54.297424400
    1.447250548   20.768349628   64.338879101
    1.517848136   25.589157852   71.385125639
    1.588445724   30.768834704   74.542332364
    1.659043311   36.032344611   73.776623427
    1.729640899   41.141267103   70.492031245
    1.800238487   45.973482256   66.095281166
    1.870836075   50.476983980   61.229541710
    1.941433662   54.601802074   55.144633305
    2.012031250   58.215209635   46.523872351
    2.082628838   61.100745724   34.444759846
    2.153226425   63.010523995   19.027194969
    2.223824013   63.741636186    1.295106678
    2.294421601   63.184359803  -17.195811885
    2.365019189   61.346476820  -34.680219552
    2.435616776   58.360288038  -49.401147601
    2.506214364   54.475748632  -59.912659911
    2.576811952   50.019445547  -65.710876260
    2.647409540   45.298955130  -67.533595332
    2.718007127   40.536922090  -67.217517333
    2.788604715   35.826714039  -66.265015676
    2.859202303   31.188577218  -65.093638729
    2.929799890   26.657086595  -63.069055571
    3.000397478   22.323866356  -59.392601427
    3.070995066   18.314289368  -53.986471435
