#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
   -3.141592654  -94.776605826  -48.120627668
   -3.070995066  -97.976419797  -42.698697343
   -3.000397478 -100.815947239  -37.785021092
   -2.929799890 -103.304493280  -32.720937300
   -2.859202303 -105.407418307  -26.764576086
   -2.788604715 -107.056909128  -19.935737589
   -2.718007127 -108.210995450  -12.859250542
   -2.647409540 -108.879200779   -6.334010653
   -2.576811952 -109.125201500   -1.001016596
   -2.506214364 -109.047843642    2.807620468
   -2.435616776 -108.751332911    5.236982203
   -2.365019189 -108.322802809    6.618740002
   -2.294421601 -107.824696111    7.248938356
   -2.223824013 -107.305845892    7.198591380
   -2.153226425 -106.812931835    6.488253900
   -2.082628838 -106.388018190    5.335052819
   -2.012031250 -106.054614921    3.865109912
   -1.941433662 -105.843053126    1.809571623
   -1.870836075 -105.813792826   -1.380443107
   -1.800238487 -106.052566515   -5.682112729
   -1.729640899 -106.601720942   -9.917027929
   -1.659043311 -107.397575314  -12.407486036
   -1.588445724 -108.277529453  -12.225410951
   -1.517848136 -109.055074983   -9.693628813
   -1.447250548 -109.594068775   -5.540880956
   -1.376652961 -109.793627212   -0.056510963
   -1.306055373 -109.552707348    6.937353092
   -1.235457785 -108.771270613   15.151835024
   -1.164860197 -107.402414693   23.278025432
   -1.094262610 -105.508712798   29.794378018
   -1.023665022 -103.238378873   33.898664738
   -0.953067434 -100.759501743   35.912676311
   -0.882469847  -98.184345589   36.731679648
   -0.811872259  -95.563173109   37.414429596
   -0.741274671  -92.878352610   38.551573573
   -0.670677083  -90.090820729   40.274013902
   -0.600079496  -87.179716377   41.943339295
   -0.529481908  -84.185716085   42.392729107
   -0.458884320  -81.234088299   40.544106663
   -0.388286732  -78.508726634   36.027907432
   -0.317689145  -76.186233225   29.319563393
   -0.247091557  -74.383774705   21.526853506
   -0.176493969  -73.133961242   13.723975207
   -0.105896382  -72.419063562    6.490981864
   -0.035298794  -72.199852518   -0.398313669
    0.035298794  -72.470579265   -7.490747781
    0.105896382  -73.257520383  -14.991110081
    0.176493969  -74.580363771  -22.573432613
    0.247091557  -76.418145469  -29.488380260
    0.317689145  -78.706385492  -35.245839602
    0.388286732  -81.359482938  -39.819405396
    0.458884320  -84.293149864  -43.175296671
    0.529481908  -87.406346844  -44.799816261
    0.600079496  -90.556080433  -44.108346903
    0.670677083  -93.571970616  -41.086258659
    0.741274671  -96.308246719  -36.263422581
    0.811872259  -98.662330180  -30.397202069
    0.882469847 -100.567543874  -23.501048693
    0.953067434 -101.942924947  -15.297105549
    1.023665022 -102.687775490   -5.681739287
    1.094262610 -102.711048904    4.966823155
    1.164860197 -101.959223594   16.246907810
    1.235457785 -100.398354742   27.915278845
    1.306055373  -97.999784829   39.931539584
    1.376652961  -94.746364702   52.016074215
    1.447250548  -90.667187081   63.107739334
    1.517848136  -85.887361085   71.458100635
    1.588445724  -80.657356558   75.839066051
    1.659043311  -75.270426441   75.871187651
    1.729640899  -70.002027364   72.810711692
    1.800238487  -65.012371486   68.169130106
    1.870836075  -60.378453855   62.817744718
    1.941433662  -56.161327837   56.146068355
    2.012031250  -52.500251120   46.847972394
    2.082628838  -49.616371657   34.083413992
    2.153226425  -47.747257420   18.319781384
    2.223824013  -47.054995411    1.060880244
    2.294421601  -47.581705483  -15.956441147
    2.365019189  -49.260191946  -31.391216302
    2.435616776  -51.947639360  -44.374910304
    2.506214364  -55.448388969  -54.317784623
    2.576811952  -59.533317287  -61.029042677
    2.647409540  -63.989384915  -64.844784919
    2.718007127  -68.641126987  -66.753963596
    2.788604715  -73.379647183  -67.382984149
    2.859202303  -78.120524938  -66.709547248
    2.929799890  -82.754866851  -64.262779156
    3.000397478  -87.146238905  -59.863096026
    3.070995066  -91.172351961  -54.100781144
