#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  50
#! SET periodic_phi true
   -3.141592654   85.275239740   43.103652918
   -3.015928947   90.169636572   34.784467758
   -2.890265241   94.053459651   26.420426226
   -2.764601535   96.727483295   15.661754401
   -2.638937829   98.007154958    4.887867964
   -2.513274123   98.132201464   -2.295692181
   -2.387610417   97.590926822   -5.765898514
   -2.261946711   96.791711874   -6.677649896
   -2.136283004   96.000939850   -5.650280967
   -2.010619298   95.406381018   -3.621579525
   -1.884955592   95.187511383    0.542862875
   -1.759291886   95.666436880    7.408104387
   -1.633628180   96.913243402   11.360011800
   -1.507964474   98.201001995    8.224450029
   -1.382300768   98.780804371    0.519868705
   -1.256637061   98.132467820  -11.439752820
   -1.130973355   95.867985819  -23.964021367
   -1.005309649   92.320842839  -31.131916725
   -0.879645943   88.246227595  -33.101299867
   -0.753982237   84.001160185  -34.444026015
   -0.628318531   79.502584257  -37.107717198
   -0.502654825   74.713168324  -37.755472471
   -0.376991118   70.266368752  -31.586827606
   -0.251327412   66.997250764  -19.724775793
   -0.125663706   65.282545421   -7.662907971
    0.000000000   65.010465640    3.420467441
    0.125663706   66.186154635   15.299694560
    0.251327412   68.859020316   26.736473696
    0.376991118   72.794195561   35.026087301
    0.502654825   77.563286270   39.805532783
    0.628318531   82.582941364   38.700921980
    0.753982237   87.057770650   31.632215753
    0.879645943   90.429481333   21.299155362
    1.005309649   92.282140616    7.494648464
    1.130973355   92.159728919   -9.674994348
    1.256637061   89.768663748  -28.255498727
    1.382300768   84.986078263  -47.560879512
    1.507964474   77.914254981  -63.398350740
    1.633628180   69.466035695  -68.596877843
    1.759291886   61.057634748  -63.726074946
    1.884955592   53.521221633  -55.419414066
    2.010619298   47.283534955  -42.299103852
    2.136283004   43.256147886  -20.064783256
    2.261946711   42.443612074    7.327670219
    2.387610417   44.993054525   32.150774789
    2.513274123   50.222459362   49.512778273
    2.638937829   57.073125375   57.913829885
    2.764601535   64.562207682   60.347273877
    2.890265241   72.136507270   58.996926626
    3.015928947   79.235327634   52.576983801
